 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1232691,201501,0601-1200,ZOB.ARTCC,OH,,,,11500,VMC,,,Night,,,Center ZOB,Air Carrier,SA-227 AC Metro III,,1,Part 135,IFR,Cargo / Freight,,Cruise,Direct,Class E ZOB,,,,,,,,,,,Pitot-Static System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Single Pilot; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 100; Flight Crew Total 1970; Flight Crew Type 85,,,,1232691,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew; Person Air Traffic Control,In-flight,Flight Crew Became Reoriented; Flight Crew Overcame Equipment Problem; General Maintenance Action,Aircraft; Human Factors; Weather,Ambiguous,"Aircraft was leveled off at 11;000 when ATC queried me to say altitude. I responded level 11;000. He suggested I check altimeter setting at which time I noted the co-pilot altimeter was 400 feet higher on the same setting. I started a descent and switched to the Alternate static source which caused the pilot side altimeter to rise roughly 500 feet from where it was. I continued the flight and queried ATC about what altitude they showed me at to make sure all systems were now in agreement. Additionally with the autopilot on in level flight (no change in altitude by either altimeter); the pilot side VSI was steady at 400 fpm descent and the co-pilot VSI showed a 300 fpm climb. After landing the altimeters were accurate and the pilot side VSI showed a 200 fpm climb and the co-pilot vsi was level. I consulted the lead mechanic from base and he said to put the aircraft in a heated hangar where ice could melt and drain. The subsequent flight showed no irregularity after checking the normal and alternate sources. Contributing factors may have been de-icing fluid could have been sprayed into the static ports; or ice blockages/frost buildup in the static lines causing errors. The aircraft was left outside the night before in subzero temperatures and snow. The aircraft was also de-iced just before departure.",,,,"SA227 Captain experiences static system anomalies after the aircraft is left out overnight in extreme cold conditions and deiced just prior to departure. In flight ATC questions the reporters' altitude and the Captain discovers his altimeter reads 500 feet lower than actual. Switching to the alternate static source corrects the altimeter error but both VSI's are in error.",
1232738,201501,1801-2400,DFW.Airport,TX,,,,,,,,Night,,,Tower DFW,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Takeoff,,Class B DFW,,,,,,,,,,,,,,,Tower DFW,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Landing,,Class B DFW,,,,,,,,,,,Facility DFW.TOWER,,Government,Local,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 7,,Communication Breakdown; Distraction; Situational Awareness,Party1 ATC; Party2 Flight Crew,1232738,,,,,,,,,,,ATC Issue All Types; Conflict Ground Conflict; Less Severe; Deviation - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach,Human Factors; Procedure,Procedure,"I had cleared Aircraft X to land runway 36L and advised them that traffic would be holding in position.  I told Aircraft Y LUAW [Line Up And Wait] on runway 36L and advised them about traffic on final for the same runway.  I then began discussing something with my assist controller and forgot about the aircraft on the runway.  Aircraft X asked if I was going to make this work; I then sent Aircraft X around.  There was no reason to have assist open at the time of the event; traffic was very slow.  DFW has a requirement to have assist open even when not needed.  Many times; like this one; local and their assist get distracted in conversation.  The conversation we were having was concerning the operation; but was not important.Close the assist position at DFW when not needed.",,,,"DFW Controller loads the runway while an aircraft is on final to same runway. Controller gets distracted by discussion with Local Assist. Pilot of landing aircraft asks local if this is going to work and is sent around. Controller blames the assist for the distraction and complains that Local Assist should not have been open.",
1232739,201501,1801-2400,SCT.TRACON,CA,,,,2400,,,,Night,,,TRACON SCT,,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,,1,,IFR,,,Cruise,Vectors,Class E ZLA,,,,,,,,,,,,,,,TRACON SCT,,Small Transport,,1,,IFR,,,Climb,Vectors,Class E ZLA,,,,,,,,,,,Facility SCT.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 2,,Communication Breakdown; Confusion; Distraction; Situational Awareness,Party1 ATC; Party2 ATC,1232739,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Conflict Airborne Conflict; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Separated Traffic,Procedure,Procedure,"I'm working Downey sector which handles LAX arrivals RWY 25L.  I also work arrivals into HHR.  I had Aircraft X on a 070 heading south of the RWY 25 localizer for HHR.  Aircraft X was level at 3;000 and I descended him down to 1;600 when he entered my airspace.  LGB Tower called and asked me for a release for Aircraft Y to HHR.  I released the aircraft with the intent to sequence Aircraft Y behind Aircraft X.  LGB Tower says over the shout line; 'I'm trying to get Aircraft Y to tag up on his beacon code;' and then hangs up the shout line. Seconds later; Aircraft Y tags up on the scope; in my airspace; exactly 3.00NM and 500' FT from Aircraft X on a converging course.  The very next sweep the separation was 2.94NM and 300' FT; and I was still not talking to Aircraft Y.  I immediately turn Aircraft X on a 270 heading.  I key up the shout line and tell LGB Tower to switch me Aircraft Y because he is in my airspace and I need to turn him to avoid collision with Aircraft X. When Aircraft Y checks in I climb him to 3;000 and turn him right to 070.  I cleared Aircraft X for his localizer RWY25 approach to HHR from his 270 heading.  I boxed Aircraft Y around and cleared him for the visual approach into HHR.The only thing that I could have done is protect myself from the possibility that an IFR aircraft was going to be in my airspace without a transponder; and not in communication with me.  I fully intended to turn Aircraft Y behind Aircraft X for sequencing to HHR.",,,,"SCT Controller describes a loss of separation between a HHR arrival and a LGB departure.",
1232740,201501,0001-0600,S46.TRACON,WA,,,,10000,,,,,,,TRACON S46,Air Carrier,Widebody; Low Wing; 4 Turbojet Eng,,3,Part 121,IFR,Passenger,FMS Or FMC,Descent,STAR MARNR4,Class B SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility S46.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 2,,Workload; Time Pressure; Situational Awareness; Confusion; Distraction; Human-Machine Interface,,1232740,,,,,,,,,,,ATC Issue All Types; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification,Human Factors; Procedure,Procedure,"Aircraft X was descending on the MARNR4 Arrival.  He was issued Runway 16R.  They usually plan Runway 16L; which is what he programmed into his FMS when he began the MARNR4 arrival.  (This arrival along with the HAWKZ has to have a runway loaded to fly it; this is part of the problem.)  When I issued Runway 16R; his FMS lost lateral and vertical guidance (which is unsafe but normal) and he said 'Aircraft X request heading off the arrival due to runway change.' This has been a problem for months and must be fixed if we want to keep using these arrivals.  Fortunately there was no traffic around but if these continue we won't always be so lucky.The facility tries to minimize these issues; due to the political pressure behind them.  First they said that this issue is only with certain airlines.  And we told them they were wrong.  Now they say that these issues are an aircraft maker problem and only exist in specified different type aircraft; obviously they are wrong about that too.  These issues occur with all types of aircraft on these arrivals.  Controllers keep saving the day every time these aircraft lose lateral and vertical guidance on the arrivals. The issue needs to be fixed immediately.",,,,"S46 Controller switches a heavy jet to a different runway. The jet loses FMC data because of the switch and requests a vector to restart the approach.",
1232742,201501,1801-2400,ZLC.ARTCC,UT,,,,14000,,Snow,,Night,,,Center ZLC,Fractional,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach; Landing,Other Instrument Approach,Class D JAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLC.ARTCC,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 4,,Communication Breakdown; Confusion; Situational Awareness,Party1 ATC; Party2 ATC; Party2 Flight Crew,1232742,,,,,,,,,,,ATC Issue All Types; Conflict Ground Conflict; Critical; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,,Human Factors; Procedure,Procedure,"I was the radar controller working an average session on sector 16; the Jackson Hole sector.  Aircraft X was arriving to JAC; everything was a standard flight.  At XX00 I cleared him for an RNAV Z approach for runway 19 into Jackson Hole. At XX+03 I terminated his radar and told him to contact tower at 118.07.  He read that back correct.  At XX+13 he came onto my frequency and said he just broke out 300 feet from surface and can see the airport. I was surprised to be talking to him; so I asked if that was Aircraft X.  He said it was; I again told him to contact tower.  I called tower about a minute later to inquire.  They said they had never talked to him until he came over at XX+13 basically on the ground.  Come to find out there was a snowplow on the runway and Aircraft X apparently came to a stop within 15 feet of the snowplow.  I finished the session; and told management what happened. They reviewed the tape; and I did indeed tell him to contact tower on the correct frequency; and the pilot had a correct read back.  I don't know what happened; whether the pilot forgot to contact tower; or tower couldn't hear him; who knows.  But it could have been bad.Pilot should switch frequencies when told.  Tower could advise center when snow plows are out; and maybe be more concerned if they haven't heard from an aircraft they know is landing soon.",,,,"ZLC Controller reports of switching an aircraft over to tower; then at 300 feet the aircraft reports to the Center Controller that he just broke out and can see the runway.  Pilot did not switch to tower frequency and landed on a runway with a snowplow on it.",
1232763,201501,1801-2400,ZWY.ARTCC,NY,,,,37000,,,,Night,,,Center ZWY,Air Carrier,Large Transport,,2,Part 119,IFR,Passenger,FMS Or FMC,Cruise,,Class A ZWY,,,,,,,,,,,,,,,Center ZWY,Air Carrier,Large Transport,,2,Part 121,IFR,Passenger,FMS Or FMC,Cruise,,Class A ZWY,,,,,,,,,,,Facility ZWY.ARTCC,,Government,Oceanic; Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 27.5,,Communication Breakdown; Confusion; Distraction; Situational Awareness; Time Pressure; Troubleshooting,Party1 ATC; Party2 Flight Crew,1232763,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy; Deviation - Procedural Clearance; Deviation - Track / Heading All Types,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Separated Traffic; Air Traffic Control Provided Assistance,Procedure,Procedure,"I have been a controller at ZWY Area E for over [time period deleted] years; and as such; have worked the WATRS airspace through its various forms: non-radar; non-radar with ODAPS (Oceanic Display and Planning System); and ATOP non-radar. I was working the off-shore radar sector Rac82/83 during the day shift. This radar sector manually coordinates with the D88 ATOP controller; feeding the radar traffic to the non-radar controller. Aircraft X had been coordinated down L452; which is parallel to L453; and prior to OXANA; Aircraft X's radar service had been terminated. Alongside Aircraft X; on the parallel airway L453; was Aircraft Y. Both aircraft were at FL370. Aircraft X progressed OXANA at XX00Z. Shortly after that; I noticed Aircraft X's track was proceeding along M325; and not L452. I called Aircraft X in the blind and asked another flight to attempt contact through company channels. In addition; I asked the D88 controller to call Aeronautical Radio and have the flight contact me. On any other sector I would have attempted contact on Guard; but R82/83 has no guard frequency transmitter!  I could have asked one of the other flights to transmit on Guard to contact Aircraft X; but as circumstances worked out; I didn't need to (such a procedure is more time consuming; since you must explain to the assisting flight exactly what you need; and time was of the essence). Aircraft X was proceeding towards ONGOT; which Aircraft Y was also proceeding towards. They had less than one minute converging at ONGOT. Southeast-bound M325 traffic and southbound L453 traffic require fifteen minutes crossing to be separated. The situation was thus: at best; had I taken no action; we had a 93% loss of separation; at worst; a mid-air collision. Aircraft Y; whom I was still in contact with; was south of PAEPR; and rapidly leaving radar airspace.  I issued a heading of 230 to Aircraft Y both to keep the flight in radar and point Aircraft Y at Aircraft X; thus ensuring that they would miss each other. I later turned Aircraft Y further right to heading 240. Aeronautical Radio contacted Aircraft X and told the flight to call me on VHF; which Aircraft X did. Once I had contact with Aircraft X; we determined that their flight plan did not match what was in our Flight Data Entry Printout. I established degrees divergence between Aircraft X and Aircraft Y using vectors; and sent them back onto what we had originally shown their routes to be: L452 and L453. My actions prevented any loss of separation. FLM (Front Line Manager) [name removed] looked into the situation and his preliminary investigation pointed to the tower activating the wrong flight plan; which was entirely identical up until OXANA; so there was no earlier opportunity to discover the discrepancy. FLM [name removed] filed a report. Aircraft X told me they had been issued several code changes; and had ultimately ended up back on their original code. While this is not positive proof of a flight plan discrepancy; it is a common occurrence when there is a flight plan discrepancy. Most disturbing in this situation is that ATOP received a position report from Aircraft X; progressing OXANA; estimating NETSS; and ONGOT next.  This is out of conformance with the L452 routing that ATOP was showing; but ATOP did not issue an out of conformance message. I believe this is due to the ATOP-radar present position report being within the lateral bounds of L452 when the message was sent. In a fully non-radar situation; ATOP will inform the controller if a position report is out of conformance; route-wise; if the present position is outside of parameters; or if the next position is outside of parameters; or if the ensuing waypoint is outside of parameters. Here; because of the ATOP-radar; the ATOP did not report the next position or ensuing waypoint as out of conformance; which they were by a dangerous margin. This is unsafe. Also unsafe is the lack of a Guard transmitter with R82/83.Other possible solutions for avoiding a reoccurrence of this type of dangerous situation: R82/83 controllers being required not to terminate radar north of OXANA or PAEPR (a practice which I have now adopted); Flights issued multiple code changes and are heading into WATRS or Oceanic airspace might be advised to ask for a routing confirmation; coordination between R82/83 and D88 being mandated to be effected at ZZTOP; NETSS; and SAUCR (as opposed to OXANA/PAEPR); which would have caught this error.",,,,"ZWY Controller describes a situation where two aircraft that he was responsible for were on a course to collide. Controller separated traffic.",
1232765,201501,0001-0600,P50.TRACON,AZ,,,,11000,,,,,,,TRACON P50,Air Carrier,Medium Large Transport,,2,Part 121,IFR,Passenger,FMS Or FMC,Descent,,Class E P50,,,,,,,,,,,,,,,TRACON P50,,Light Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,,FMS Or FMC,Descent,,Class E P50,,,,,,,,,,,Facility P50.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 10.8,,Workload; Troubleshooting; Communication Breakdown; Distraction; Confusion; Situational Awareness,Party1 ATC; Party2 ATC,1232765,,,,,,,,,,,ATC Issue All Types; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance,Human Factors; Procedure,Procedure,"ZAB called to say that Aircraft X was not descending via. That was because ZAB dumped Aircraft Y to 11;000 feet in front of Aircraft X instead of putting them in trail. This is the easy out the ZAB continually does when they just dump on us (over deliver). Our Letter of Agreement (LOA) with ZAB allows them to do this with an APREQ; however; there was no APREQ. They never APREQ; they just do this. ZAB refuses to push the numbers from Time Based Flow Management (TBFM) to the glass so the controllers can use them to sequence properly. Instead; ZAB's Traffic Management Unit (TMU) supposedly monitors the numbers. Our TBFM is not set up correctly. We need to redo the setup completely; from nominal routes; to buffers; streams; matrix; super streams; etc. During this period and the one before; ZAB over delivered by giving us 21 aircraft in each 15 minute period for a total of 42 arrivals in a 30 minute period. They should only be giving us 18 arrivals according to the way the Flight Schedule Monitor (FSM) is set up. We could possible take 19 arrivals; but that would be the absolute max (19 when TBFM is set up properly and followed by ZAB).Make setting up TBFM correctly a priority and get it done ASAP; not waiting for Optimization of the Airspace and Procedures in the Metroplex (OAPM); since OAPM won't be implemented until. Make ZAB push the TBFM numbers to the glass. Make ZAB adhere to the TBFM numbers. Don't allow ZAB to stack arrivals; there are other routes available in our LOA.",,,,"P50 Controller reports of ZAB feed to P50 as being excessive. P50 Controller reports that the Time Based Flow Management (TBFM) is not set up correctly and that the facility needs to configure it correctly.",
1232768,201501,1201-1800,ZLC.ARTCC,UT,,,,,,,,Night,,,Center ZLC,,Small Aircraft,,1,,IFR,,,Initial Climb,,Class E ZLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLC.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 5,,Communication Breakdown; Confusion; Situational Awareness; Training / Qualification,Party1 ATC; Party2 ATC,1232768,,,,,,,,,,,ATC Issue All Types; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance,Airspace Structure; Human Factors; Procedure,Human Factors,"As I was taking over for another CPC; less than five years of experience controller; I was witness to him issuing a clearance to this aircraft off the ground.  The MIA in the area is 140. The controller issued 120 direct to FFU.  I sat back and let him finish the briefing.  I asked him how the 120 altitude clearance will work.  His reply was something to the effect of the departure procedure.  I took over the position and I began to research where the obstacle departure clearance is for the airport.  I was only able to quickly find the departure procedure.  The pilot came off the ground; I radar identified and queried if the pilot was able to maintain his own terrain and obstacle clearance through 140.  The pilot stated he was so I issued the climb to 140.  The pilot later stated 140 would be too high for his airplane.  I told him I was unable to allow the IFR clearance due to terrain and suggested a VFR bearing due west to get in terrain that would allow IFR flight at a lower altitude.  The pilot seemed to like the idea and I asked if there was any issue of cloud avoidance with the plan we were executing.  At the appropriate altitude; I was then able to issue an IFR clearance.  Worth mentioning; the pilot originally filed 100; which is well below MIA altitudes along his route. Published obstacle departure clearance for such mountainous terrain.",,,,"ZLC Controller reports of another less experienced Controller issuing a clearance to an aircraft below a useable altitude. The ZLC Controller then took over the position and rectified the situation.",
1232770,201501,1201-1800,ZLC.ARTCC,UT,,,,13000,,,,Daylight,,,Center ZLC,,Small Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,,,Cruise,,Class E ZLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLC.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 4.7,,Situational Awareness; Confusion,,1232770,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,,Procedure; Human Factors,Procedure,"Aircraft X flying in to 36U from the south. Sector 32 called and said he was looking for the visual but if he didn't see the airport would execute an instrument approach procedure.  By Letter of Agreement (LOA) sector 3 has control for 36U landers from 32. I checked my Minimum Instrument Altitudes (MIA) in the area and thought 13;000 feet was a safe altitude.  It was for a time but the MIA creeps up to 13;900 feet.  I misinterpreted the MIA lines with sector lines and approach lines and thought 13;000 feet was a safe altitude until the MIA goes to 12;000 feet closer to the airport. The En-Route Minimum Safe Altitude Warning (EMSAW) alert didn't go off so I didn't question the safety of the flight since I already thought the Altitude was safe.Maybe reconsider EMSAW alerts procedures around landing airports. When a hard altitude entered would trigger the alert.",,,,"ZLC Controller describes a flight into an airport and is concerned about the Minimum IFR Altitudes (MIA) and altitude to assign the aircraft. Controller should have climbed the aircraft a thousand feet higher.",
1232772,201501,1201-1800,TPA.TRACON,FL,,,,3000,VMC,,,Daylight,,,TRACON TPA,,Small Aircraft,,1,,VFR,,,Cruise,,Class E TPA,,,,,,,,,,,,,,,TRACON TPA,,Small Aircraft,,1,,VFR,,,Cruise,Vectors,Class E TPA,,,,,,,,,,,Facility TPA.TRACON,,Government,Departure; Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 3.5,,Workload; Situational Awareness; Human-Machine Interface; Confusion; Distraction,,1232772,,,,,,,,,,,ATC Issue All Types; Conflict NMAC,,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification,Human Factors; Procedure; Staffing,Staffing,"Working satellite and departure combined in the midst of busy season; middle of the day; good VFR weather.  At the time of the event I had 19 airplanes; which is quite busy for this sector and typically would permit a handoff; which I did not have until I asked for one; after it was too late.  Aircraft X departed VNC requesting northbound along the coast.  I assigned AOB 3000 VFR.  Aircraft Y departed SRQ VFR.  I issued climb to 5500; but then amended to 3000 for traffic at 4000 IFR; and additional traffic at 3500 VFR.  I then assigned 3000 to Aircraft X for traffic at 2000 opposite direction.  In the area where the event occurred; there were 5 data blocks overlying each other.  I became distracted with other traffic and missed the CA [Conflict Alert] until after it had happened; at which point Aircraft Y informed me an aircraft just passed by what he assumed to be 500 feet laterally at the same altitude. I don't have a recommendation because during the busy season handoff is often staffed on this sector; but this time the supervisor just didn't realize how busy I'd become.",,,,"TPA Controller describes a loss of separation due to data tag overlap and amount of traffic during the session.",
1232775,201501,1801-2400,U90.TRACON,AZ,,,,10700,,,,Night,,,TRACON U90,Military,Fighter,,1,Part 91,IFR,Tactical,,Climb,,Class E U90,,,,,,,,,,,,,,,TRACON U90,Air Carrier,Medium Large Transport,,2,Part 121,IFR,Passenger,,Cruise; Initial Climb,,Class E U90,,,,,,,,,,,Facility U90.TRACON,,Government,Approach; Instructor,Air Traffic Control Fully Certified,Air Traffic Control Radar 14; Air Traffic Control Time Certified In Pos 1 (yrs) 6.5,,Training / Qualification; Confusion; Communication Breakdown; Situational Awareness,Party2 Flight Crew,1232775,Facility U90.TRACON,,Government,Approach; Trainee,Air Traffic Control Developmental,Air Traffic Control Radar 1.5,,Training / Qualification; Confusion; Situational Awareness; Communication Breakdown,Party1 ATC; Party2 Flight Crew,1233792,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Procedural Clearance,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Air Traffic Control Separated Traffic,Human Factors; Procedure,Human Factors,"Training in progress; we were working departure; west radar and satellite combined; moderate VFR conditions. Aircraft X eastbound restricted to 10;000 feet with Aircraft Y also eastbound climbing above Aircraft X. The trainee restricted Aircraft X at 10;000 feet; at some point the pilot asked for a block altitude 9000 feet block 10;000 feet; the trainee responded 'I have your request'; it was never approved. The trainee started to fall behind; there was a lot of frequency congestion on multiple frequencies. The amount of traffic and frequency congestion was beyond the trainee's capability so I took the frequencies. Aircraft X was blocked on the frequency at least once but I knew he was restricted below Aircraft Y and I had higher priority transmissions. I heard the controller-in-charge (CIC) ask what Aircraft X was doing; I saw him at 103 and immediately descended him back to 10;000 feet; I gave him the brasher warning. The Pilot stated that I didn't answer him so he decided to climb (paraphrasing). I never saw a loss of separation; the closest altitudes were 10;700 feet and 11;700 feet.Although this was not a result of a phraseology error; I did review 'On request' phraseology with the trainee. I don't believe the pilot was confused about the altitude restriction. The Pilot did not receive a reply from ATC due to frequency congestion and decided to climb. Even if I would have taken control of the position and frequencies sooner; it would not have prevented this situation because I had other higher priorities. I would recommend monthly or quarterly meetings with the squadrons; an exchange of knowledge; rules and restrictions from both sides (pilots and controllers; not office staff or management) would be beneficial.",,"The two aircraft involved in the incident were Aircraft X and Aircraft Y which departed Tucson Int'l. Both aircraft departed simultaneously off their respective airports simultaneously which are separated by only 4.1 miles. Both aircraft are filed to go out the same exit fix 'MESCA'; but Aircraft X has an assigned altitude of 13;000 feet prior to getting shipped to center; and Aircraft Y has an assigned altitude of 17;000 feet; but is expected to get direct El Paso however that would require Aircraft Y going over the top of Aircraft X once separation is established. I noticed the aircraft were climbing at similar rates so Aircraft X was capped at 9;000 feet and Aircraft Y continued to climb. When Aircraft Y reached 10;000 MSL I would put him over the top of Aircraft Y and give him direct El Paso. I tried calling traffic for Aircraft Y on two occasions; but he could not get the aircraft in site. Also going on in the airspace was a guard recovery of multiple aircraft checking in with requests on different frequencies that I was monitoring. There were also different departures checking in at the same time. The frequencies were getting congested as people started stepping on each other. I am only [time removed] training hours into this position and I was starting to get a little overwhelmed. I then noticed that Aircraft Y had left 11;000 feet so I went back and assigned Aircraft X 10;000 feet which was read back correctly by the pilot. At that point Aircraft X requested a block altitude of 11;000 feet to 13;000 feet. My 'response was 'Aircraft X; I have your request'. I went back and talked to other aircraft. A moment later my trainer took over the frequency and told Aircraft X he can not climb on his own and warned of a possible pilot deviation. I looked at the data blocks and Aircraft X had climbed through 10;000 feet and was indicating 10;400 feet while Aircraft Y was still going over the top indicating 11;300 feet. My trainer took over the frequency to catch me up a little bit; and also to warn Aircraft X of a possible pilot deviation; and advise he call the radar facility. I was unsure if there was an actual loss of separation. The Falcon replay looked to show 1;000 feet at all times; but I was told that the there was a loss of separation. The final was 800 feet and 3.84 miles. I feel this was a pilot deviation as Aircraft X was assigned and read back 10;000 feet; a safe altitude that met all upcoming Minimum Vectoring Altitude (MVA); but he decided to climb on his own.As a trainee I learned a lot from this incident especially after a debrief with my trainer; and more discussion with a FLM as I discussed what were some different techniques to act sooner; and get better control of the frequency. The plan I had did ensure separation; but there were different techniques to not even make this a factor had I acted on the conflict sooner. I know there are techniques to such as expediting climbs if able; or stopping one of the aircraft sooner. I am new to radar and am learning a lot; but this was an unfortunate event that I was able to learn a lot from.My original plan to separate the aircraft could have worked; but as a result of this deviation I learned ways to better control the frequency and resolve conflicts closer to the airport as opposed to further out when aircraft are at higher speeds.",,"U90 Approach Controller describes a confusing reply from his trainee to a pilot. Pilot requested a block altitude; Controller answered 'On request.' Pilot later climbs on his own and separation was lost.",
